KEY_ISTAT_COMUNE,DESC_COMUNE,CLASSE_A_PIU,CLASSE_A,CLASSE_B,CLASSE_C,CLASSE_D,CLASSE_E,CLASSE_F,CLASSE_G,CLASSE_NC
001001,AGLIE',8,0,21,37,37,25,51,50,33
001002,AIRASCA,1,1,7,33,38,32,33,39,20
001003,ALA DI STURA,0,0,0,1,7,4,6,20,43
001004,ALBIANO D'IVREA,1,2,7,22,26,19,13,18,21
001005,ALICE SUPERIORE,0,1,0,3,4,3,6,6,12
001006,ALMESE,11,13,34,68,74,51,46,71,43
001007,ALPETTE,0,0,0,0,2,2,2,16,9
001008,ALPIGNANO,1,2,76,238,264,159,148,175,62
001009,ANDEZENO,0,6,12,27,35,22,15,26,18
001010,ANDRATE,0,0,2,0,5,1,1,9,10
001011,ANGROGNA,0,1,2,2,3,3,16,21,42
001012,ARIGNANO,0,0,5,15,20,11,8,11,10
001013,AVIGLIANA,3,18,122,163,197,164,133,188,80
001014,AZEGLIO,0,0,2,4,3,5,6,14,23
001015,BAIRO,0,0,5,15,4,7,5,3,12
001016,BALANGERO,8,18,11,14,31,19,18,36,37
001017,BALDISSERO CANAVESE,0,0,1,5,2,5,4,10,2
001018,BALDISSERO TORINESE,1,3,16,39,63,34,27,40,24
001019,BALME,0,0,0,0,4,3,6,9,25
001020,BANCHETTE,1,3,4,51,61,67,30,35,13
001021,BARBANIA,0,1,10,17,9,12,17,20,19
001022,BARDONECCHIA,11,26,82,345,340,225,126,132,46
001023,BARONE CANAVESE,0,0,0,2,8,2,4,13,8
001024,BEINASCO,0,7,64,270,282,234,160,214,66
001025,BIBIANA,0,0,16,33,36,44,32,46,33
001026,BOBBIO PELLICE,0,0,0,4,5,4,4,10,55
001027,BOLLENGO,0,6,16,17,18,15,19,10,27
001028,BORGARO TORINESE,0,62,79,230,199,109,102,87,27
001029,BORGIALLO,0,0,2,1,4,11,8,9,20
001030,BORGOFRANCO D'IVREA,0,9,8,23,22,20,26,49,31
001031,BORGOMASINO,0,0,1,3,5,3,5,6,14
001032,BORGONE SUSA,1,3,9,19,37,21,26,44,46
001033,BOSCONERO,0,0,6,21,27,33,23,35,13
001034,BRANDIZZO,1,15,129,156,109,85,63,76,53
001035,BRICHERASIO,0,1,25,97,65,59,36,41,25
001036,BROSSO,0,0,0,0,2,2,6,10,12
001037,BROZOLO,0,0,1,1,1,6,2,9,7
001038,BRUINO,0,10,111,92,115,104,70,79,28
001039,BRUSASCO,0,0,7,11,16,18,29,33,13
001040,BRUZOLO,0,1,9,14,17,13,11,17,30
001041,BURIASCO,0,0,3,9,7,17,7,10,18
001042,BUROLO,0,1,7,7,10,10,14,10,17
001043,BUSANO,0,3,15,31,14,15,12,24,10
001044,BUSSOLENO,0,1,10,59,52,48,42,74,70
001045,BUTTIGLIERA ALTA,0,1,26,43,58,75,69,82,37
001046,CAFASSE,0,1,9,24,34,37,53,39,22
001047,CALUSO,0,27,104,75,56,43,86,120,53
001048,CAMBIANO,0,1,27,80,67,69,53,56,21
001049,CAMPIGLIONE-FENILE,0,3,9,10,12,15,7,13,4
001050,CANDIA CANAVESE,0,1,6,7,16,14,7,28,19
001051,CANDIOLO,4,2,34,89,77,54,47,43,16
001052,CANISCHIO,0,0,0,0,2,1,1,2,9
001053,CANTALUPA,0,2,16,45,45,28,19,26,29
001054,CANTOIRA,0,0,9,18,4,5,11,27,37
001055,CAPRIE,0,0,25,9,17,14,14,49,41
001056,CARAVINO,0,0,0,3,8,3,6,20,21
001057,CAREMA,0,0,4,3,4,4,2,11,3
001058,CARIGNANO,0,1,37,107,142,109,78,145,56
001059,CARMAGNOLA,0,10,183,431,462,326,251,291,88
001060,CASALBORGONE,0,1,12,18,25,28,21,14,27
001061,CASCINETTE D'IVREA,1,0,8,8,8,9,9,12,20
001062,CASELETTE,0,5,20,32,35,29,26,29,13
001063,CASELLE TORINESE,0,21,164,253,297,176,142,197,100
001064,CASTAGNETO PO,0,3,10,42,30,24,13,20,8
001065,CASTAGNOLE PIEMONTE,0,0,8,40,28,20,13,24,21
001066,CASTELLAMONTE,0,5,22,100,114,83,71,194,154
001067,CASTELNUOVO NIGRA,0,0,0,0,0,2,5,7,19
001068,CASTIGLIONE TORINESE,3,1,49,113,97,73,53,83,47
001069,CAVAGNOLO,1,0,0,15,37,29,29,41,21
001070,CAVOUR,0,0,18,83,84,79,60,85,58
001071,CERCENASCO,0,0,9,18,18,14,10,19,13
001072,CERES,0,0,0,16,3,4,6,19,62
001073,CERESOLE REALE,0,0,0,16,11,5,4,9,14
001074,CESANA TORINESE,0,5,46,137,124,94,58,67,44
001075,CHIALAMBERTO,0,0,1,3,5,5,9,12,37
001076,CHIANOCCO,0,0,16,11,13,10,9,12,18
001077,CHIAVERANO,0,0,3,4,9,6,10,20,26
001078,CHIERI,43,52,250,667,636,415,329,341,126
001079,CHIESANUOVA,0,0,1,3,3,3,3,5,7
001080,CHIOMONTE,0,0,2,8,16,13,16,41,42
001081,CHIUSA DI SAN MICHELE,0,0,2,19,21,15,21,33,18
001082,CHIVASSO,6,55,272,514,392,253,197,270,96
001083,CICONIO,0,0,1,1,2,0,4,5,2
001084,CINTANO,0,0,1,3,0,3,1,6,8
001085,CINZANO,0,0,0,3,3,4,3,1,5
